Month,Day,Year,Occupancy,T.outdoor.F,E.ele.month.kWh,E.gas.month.therm
1,1,2005,4,32.3,1426,316
2,1,2005,4,31.9,1213,264
3,1,2005,4,34.6,1140,228
4,1,2005,4,37.1,1166,131
5,1,2005,4,54,1136,48
6,1,2005,4,57.7,1797,20.5
7,1,2005,4,73.1,2716,16.4
8,1,2005,4,75.7,2685,16.4
9,1,2005,4,75.6,2775,16.37
10,1,2005,4,68.9,1200,76.7
11,1,2005,4,54.7,1068,181.1
12,1,2005,4,45.4,1251,241.2
1,1,2006,4,28.7,837,195.6
2,1,2006,4,40.4,761,163.1
3,1,2006,4,32.9,663,144.2
4,1,2006,4,40.8,768,56.7
5,1,2006,4,56.3,613,25.45
6,1,2006,4,60.2,994,17
7,1,2006,4,69,1875,12.1
8,1,2006,4,75.5,1801,15.2
9,1,2006,4,75.1,1164,17.1
10,1,2006,4,62.8,915,48.5
11,1,2006,4,51.8,1350,97.7
12,1,2006,4,44.9,791,98.7
1,1,2007,4,39.2,949,158
2,1,2007,4,35,907,183
3,1,2007,4,20.7,640,172
4,1,2007,4,47.5,542,63
5,1,2007,4,50.5,538,31
6,1,2007,4,66.1,835,16
7,1,2007,4,72.1,1576,11
8,1,2007,4,71.8,1450,7
9,1,2007,3,78.4,1661,14
10,1,2007,3,69.9,1020,12
11,1,2007,3,61.3,832,27
12,1,2007,3,43.7,848,94
1,1,2008,3,34.9,1013,116
2,1,2008,3,30,923,171
3,1,2008,3,30.3,704,129
4,1,2008,3,39.2,815,63
5,1,2008,3,53.7,800,43
6,1,2008,3,58.9,1074,15
7,1,2008,3,72.5,1183,11
8,1,2008,3,73.8,1155,8
9,1,2008,3,72.4,1093,9
10,1,2008,3,68.9,742,11
11,1,2008,3,54.2,740,34
12,1,2008,3,41.7,712,139
1,1,2009,3,32.2,694,152
2,1,2009,3,24.2,586,164
3,1,2009,3,33.6,540,100
4,1,2009,3,45.1,474,46
5,1,2009,3,53.1,478,21
6,1,2009,3,63.6,822,14
7,1,2009,3,72.2,1201,12
8,1,2009,3,69.9,1046,11
9,1,2009,3,71.9,1280,13
10,1,2009,3,66.1,982,12
11,1,2009,3,51.4,765,26
12,1,2009,3,47,589,75
1,1,2010,3,32.3,671,175
2,1,2010,3,26.9,462,153
3,1,2010,3,26.7,511,136
4,1,2010,3,44.1,518,44
5,1,2010,3,57.8,706,3
6,1,2010,3,16,876,4
7,1,2010,3,16,1675,4
8,1,2010,3,13,1221,4
9,1,2010,2,15,822,2
10,1,2010,2,17,614,2
11,1,2010,2,14,511,2
12,1,2010,2,24,356,2
1,1,2011,2,88,671,2
2,1,2011,2,172,447,2
3,1,2011,2,168,478,2
4,1,2011,2,108,325,2
5,1,2011,2,53,633,2
6,1,2011,3,27,1038,3
7,1,2011,3,20,1078,4
8,1,2011,3,16,1178,4
9,1,2011,3,10,786,2
