Meter.Period.No.,Start.Date,Start.YRMODAMI,Read.Date,End.YRMODAMI,,
1,9/17/2013,2013091700,10/17/2013,2013101700,9,09
2,10/17/2013,2013101700,11/15/2013,2013111500,,
3,11/15/2013,2013111500,12/13/2013,2013121300,,
4,12/13/2013,2013121300,1/17/2014,2014011700,,
5,1/17/2014,2014011700,2/17/2014,2014021700,,
6,2/17/2014,2014021700,3/18/2014,2014031800,,
7,3/18/2014,2014031800,4/16/2014,2014041600,,
8,4/16/2014,2014041600,5/16/2014,2014051600,,
9,5/16/2014,2014051600,6/17/2014,2014061700,,
10,6/17/2014,2014061700,7/17/2014,2014071700,,
11,7/17/2014,2014071700,8/18/2014,2014081800,,
12,8/18/2014,2014081800,9/17/2014,2014091700,,
13,9/17/2014,2014091700,10/16/2014,2014101600,,
14,10/16/2014,2014101600,11/14/2014,2014111400,,
15,11/14/2014,2014111400,12/15/2014,2014121500,,
16,12/15/2014,2014121500,1/16/2015,2015011600,,
17,1/16/2015,2015011600,2/17/2015,2015021700,,
18,2/17/2015,2015021700,3/18/2015,2015031800,,
19,3/18/2015,2015031800,4/17/2015,2015041700,,
20,4/17/2015,2015041700,5/16/2015,2015051600,,
21,5/16/2015,2015051600,6/17/2015,2015061700,,
22,6/17/2015,2015061700,7/17/2015,2015071700,,
23,7/17/2015,2015071700,8/18/2015,2015081800,,
